N,q,dF,dg,dr,mLen,encryption_time,decryption_time
107,128,90,90,70,500,15,16
107,128,90,90,80,100,10,10
107,128,90,90,80,200,18,12
107,128,90,90,80,300,16,11
107,128,90,90,80,400,20,11
107,128,90,90,80,500,17,12
107,128,90,90,90,100,16,14
107,128,90,90,90,200,24,13
107,128,90,90,90,300,12,13
107,128,90,90,90,400,17,13
107,128,90,90,90,500,20,11
107,256,50,50,50,100,16,9
107,256,50,50,50,200,21,13
107,256,50,50,50,300,12,10
107,256,50,50,50,400,19,17
107,256,50,50,50,500,22,13
107,256,50,50,60,100,15,16
107,256,50,50,60,200,19,18
107,256,50,50,60,300,19,21
107,256,50,50,60,400,17,14
107,256,50,50,60,500,12,19
107,256,50,50,70,100,13,15
107,256,50,50,70,200,16,11
107,256,50,50,70,300,17,20
107,256,50,50,70,400,10,9
107,256,50,50,70,500,11,10
107,256,50,50,80,100,15,15
107,256,50,50,80,200,18,11
107,256,50,50,80,300,19,19
107,256,50,50,80,400,21,16
107,256,50,50,80,500,14,11
107,256,50,50,90,100,22,20
107,256,50,50,90,200,15,17
107,256,50,50,90,300,13,17
107,256,50,50,90,400,21,18
107,256,50,50,90,500,12,11
107,256,50,60,50,100,15,15
107,256,50,60,50,200,19,21
107,256,50,60,50,300,21,11
107,256,50,60,50,400,18,13
107,256,50,60,50,500,10,12
107,256,50,60,60,100,17,18
107,256,50,60,60,200,17,16
107,256,50,60,60,300,19,19
107,256,50,60,60,400,23,20
107,256,50,60,60,500,17,21
107,256,50,60,70,100,13,12
107,256,50,60,70,200,13,11
107,256,50,60,70,300,13,11
107,256,50,60,70,400,13,10
107,256,50,60,70,500,11,9
107,256,50,60,80,100,10,10
107,256,50,60,80,200,15,12
107,256,50,60,80,300,17,16
107,256,50,60,80,400,16,16
107,256,50,60,80,500,14,16
107,256,50,60,90,100,14,12
107,256,50,60,90,200,19,14
107,256,50,60,90,300,15,12
107,256,50,60,90,400,16,16
107,256,50,60,90,500,10,10
107,256,50,70,50,100,13,12
107,256,50,70,50,200,14,11
107,256,50,70,50,300,10,10
107,256,50,70,50,400,20,12
107,256,50,70,50,500,17,17
107,256,50,70,60,100,16,10
107,256,50,70,60,200,17,15
107,256,50,70,60,300,14,16
107,256,50,70,60,400,18,15
107,256,50,70,60,500,25,17
107,256,50,70,70,100,19,19
107,256,50,70,70,200,12,14
107,256,50,70,70,300,22,13
107,256,50,70,70,400,19,12
107,256,50,70,70,500,10,13
107,256,50,70,80,100,13,10
107,256,50,70,80,200,16,17
107,256,50,70,80,300,19,10
107,256,50,70,80,400,14,16
107,256,50,70,80,500,20,17
107,256,50,70,90,100,12,18
107,256,50,70,90,200,21,21
107,256,50,70,90,300,17,22
107,256,50,70,90,400,20,20
107,256,50,70,90,500,20,17
107,256,50,80,50,100,13,11
107,256,50,80,50,200,15,12
107,256,50,80,50,300,11,11
107,256,50,80,50,400,15,11
107,256,50,80,50,500,13,12
107,256,50,80,60,100,10,11
107,256,50,80,60,200,10,11
107,256,50,80,60,300,9,11
107,256,50,80,60,400,18,12
107,256,50,80,60,500,15,16
107,256,50,80,70,100,12,10
107,256,50,80,70,200,13,12
107,256,50,80,70,300,17,9
107,256,50,80,70,400,16,14
107,256,50,80,70,500,11,11
107,256,50,80,80,100,16,13
107,256,50,80,80,200,22,13
107,256,50,80,80,300,19,11
107,256,50,80,80,400,15,11
107,256,50,80,80,500,23,17
107,256,50,80,90,100,20,13
107,256,50,80,90,200,13,13
107,256,50,80,90,300,10,9
107,256,50,80,90,400,24,13
107,256,50,80,90,500,19,13
107,256,50,90,50,100,16,18
107,256,50,90,50,200,20,20
107,256,50,90,50,300,14,14
107,256,50,90,50,400,25,17
107,256,50,90,50,500,10,12
107,256,50,90,60,100,13,17
107,256,50,90,60,200,26,13
107,256,50,90,60,300,15,10
107,256,50,90,60,400,18,17
107,256,50,90,60,500,22,20
107,256,50,90,70,100,22,14
107,256,50,90,70,200,15,21
107,256,50,90,70,300,12,12
107,256,50,90,70,400,17,20
107,256,50,90,70,500,14,17
107,256,50,90,80,100,19,11
107,256,50,90,80,200,20,11
107,256,50,90,80,300,15,15
107,256,50,90,80,400,18,21
107,256,50,90,80,500,11,10
107,256,50,90,90,100,13,13
107,256,50,90,90,200,20,16
107,256,50,90,90,300,26,17
107,256,50,90,90,400,19,14
107,256,50,90,90,500,19,16
107,256,60,50,50,100,9,9
107,256,60,50,50,200,10,9
107,256,60,50,50,300,9,11
107,256,60,50,50,400,10,10
107,256,60,50,50,500,10,10
107,256,60,50,60,100,10,10
107,256,60,50,60,200,9,9
107,256,60,50,60,300,10,10
107,256,60,50,60,400,10,9
107,256,60,50,60,500,10,11
107,256,60,50,70,100,9,9
107,256,60,50,70,200,10,10
107,256,60,50,70,300,9,10
107,256,60,50,70,400,10,10
107,256,60,50,70,500,9,11
107,256,60,50,80,100,11,11
107,256,60,50,80,200,11,10
107,256,60,50,80,300,10,10
107,256,60,50,80,400,10,11
107,256,60,50,80,500,10,9
107,256,60,50,90,100,10,11
107,256,60,50,90,200,10,11
107,256,60,50,90,300,10,10
107,256,60,50,90,400,9,10
107,256,60,50,90,500,15,16
107,256,60,60,50,100,17,14
107,256,60,60,50,200,12,10
107,256,60,60,50,300,9,10
107,256,60,60,50,400,11,9
107,256,60,60,50,500,19,12
107,256,60,60,60,100,14,10
107,256,60,60,60,200,21,16
107,256,60,60,60,300,20,20
107,256,60,60,60,400,21,20
107,256,60,60,60,500,19,11
107,256,60,60,70,100,16,10
107,256,60,60,70,200,13,14
107,256,60,60,70,300,11,10
107,256,60,60,70,400,10,13
107,256,60,60,70,500,19,18
107,256,60,60,80,100,13,9
107,256,60,60,80,200,15,11
107,256,60,60,80,300,26,19
107,256,60,60,80,400,24,13
107,256,60,60,80,500,18,13
107,256,60,60,90,100,12,10
107,256,60,60,90,200,14,16
107,256,60,60,90,300,11,12
107,256,60,60,90,400,26,18
107,256,60,60,90,500,12,14
107,256,60,70,50,100,19,13
107,256,60,70,50,200,12,15
107,256,60,70,50,300,30,15
107,256,60,70,50,400,18,18
107,256,60,70,50,500,20,19
107,256,60,70,60,100,10,10
107,256,60,70,60,200,20,11
107,256,60,70,60,300,21,21
107,256,60,70,60,400,20,13
107,256,60,70,60,500,19,15
107,256,60,70,70,100,18,18
107,256,60,70,70,200,20,24
107,256,60,70,70,300,21,12
107,256,60,70,70,400,22,13
107,256,60,70,70,500,17,13
107,256,60,70,80,100,22,18
107,256,60,70,80,200,10,10
107,256,60,70,80,300,17,18
107,256,60,70,80,400,16,17
107,256,60,70,80,500,18,15
107,256,60,70,90,100,15,11
107,256,60,70,90,200,21,21
107,256,60,70,90,300,20,20
107,256,60,70,90,400,24,17
107,256,60,70,90,500,11,11
107,256,60,80,50,100,11,13
107,256,60,80,50,200,16,12
107,256,60,80,50,300,9,10
107,256,60,80,50,400,19,12
107,256,60,80,50,500,19,11
107,256,60,80,60,100,21,18
107,256,60,80,60,200,21,21
107,256,60,80,60,300,10,10
107,256,60,80,60,400,17,13
107,256,60,80,60,500,19,17
107,256,60,80,70,100,19,14
107,256,60,80,70,200,22,19
107,256,60,80,70,300,21,20
107,256,60,80,70,400,10,10
107,256,60,80,70,500,16,17
107,256,60,80,80,100,18,16
107,256,60,80,80,200,14,14
107,256,60,80,80,300,20,15
107,256,60,80,80,400,21,12
107,256,60,80,80,500,15,12
107,256,60,80,90,100,16,15
107,256,60,80,90,200,13,14
107,256,60,80,90,300,20,16
107,256,60,80,90,400,16,12
107,256,60,80,90,500,11,10
107,256,60,90,50,100,11,10
107,256,60,90,50,200,11,12
107,256,60,90,50,300,17,12
107,256,60,90,50,400,14,11
107,256,60,90,50,500,18,13
107,256,60,90,60,100,19,13
107,256,60,90,60,200,26,19
107,256,60,90,60,300,20,12
107,256,60,90,60,400,15,13
107,256,60,90,60,500,18,10
107,256,60,90,70,100,19,13
107,256,60,90,70,200,11,10
107,256,60,90,70,300,10,11
107,256,60,90,70,400,12,19
107,256,60,90,70,500,13,12
107,256,60,90,80,100,10,10
107,256,60,90,80,200,14,12
