mLen,N,q,dF,dg,dr,actual_encryption_time,actual_decryption_time
230,578,1572,9,20,3,23,21,
231,828,2475,7,18,4,18,17,
586,1013,2186,20,11,6,22,16,
232,293,1680,16,18,20,19,22,
1049,526,975,5,19,1,24,17,
233,1251,1982,8,20,18,26,37,
2520,1076,994,17,9,17,20,20,
2025,878,1284,10,8,16,20,19,
587,763,843,19,9,9,28,22,
234,922,1755,8,6,8,21,20,
1533,685,2214,12,3,10,20,23,
235,932,1758,6,8,18,26,25,
588,1123,1056,4,8,20,16,17,
236,1125,1047,8,13,7,18,17,
1050,561,537,4,8,3,22,20,
237,1118,704,7,18,4,16,18,
589,1104,1004,2,3,1,20,20,
238,1052,1441,5,17,17,25,28,
1534,899,2118,7,5,15,19,19,
239,295,1538,10,17,17,28,18,
1051,1139,533,14,5,19,19,25,
2026,846,1149,17,10,2,22,27,
590,865,2020,17,20,8,21,18,
240,770,2249,1,8,6,19,21,
2521,875,1087,11,1,20,20,20,
241,1111,847,14,16,4,17,17,
591,1077,705,14,3,15,18,18,
242,788,2517,20,13,6,22,20,
1052,507,523,16,1,6,20,20,
243,750,1191,9,4,20,23,24,
1535,820,581,14,9,5,26,29,
592,1096,2523,20,8,2,17,17,
244,453,867,11,8,5,16,17,
245,1104,1636,4,13,8,18,18,
2027,1260,1534,8,14,15,21,21,
593,307,2382,3,19,13,25,18,
1053,666,2377,7,9,4,27,23,
246,925,2154,19,3,19,20,18,
247,819,1256,20,10,18,20,21,
2522,601,799,17,14,10,29,20,
594,1048,2204,17,2,4,23,22,
1536,1072,1205,13,4,1,19,25,
248,1009,2325,5,18,14,23,26,
1054,317,2282,2,20,3,21,18,
249,663,2457,17,8,13,23,21,
595,986,1522,16,16,7,21,18,
250,790,1600,14,7,17,16,17,
2028,722,2194,8,10,2,22,19,
251,1062,1329,7,6,9,27,17,
596,258,1807,6,8,1,22,20,
1055,530,1985,10,17,3,24,27,
1537,653,2551,10,4,16,17,17,
252,805,1476,6,11,13,18,18,
597,419,1822,6,15,16,32,21,
253,600,740,20,15,14,23,29,
2523,484,2061,7,7,4,17,16,
254,537,1575,7,5,14,32,20,
1056,646,1885,3,5,10,27,18,
598,536,2372,10,11,11,21,19,
255,1222,2490,17,10,1,24,20,
256,536,550,3,18,16,21,22,
1538,514,1434,10,17,10,23,26,
2029,707,1449,5,3,1,17,23,
599,519,528,5,7,10,21,17,
257,392,995,1,2,7,20,19,
1057,759,799,9,11,3,20,19,
258,505,945,5,20,19,18,19,
600,529,2295,14,15,4,19,24,
259,449,1883,3,19,7,33,16,
260,484,2173,11,8,9,18,18,
1539,438,521,12,18,3,20,18,
601,290,976,3,10,7,18,25,
2524,376,1296,8,18,3,19,21,
1058,270,1230,2,1,20,20,19,
261,699,1642,4,7,14,25,21,
2030,1219,1019,18,5,14,22,19,
262,622,1373,19,1,5,18,20,
602,405,1576,15,20,7,19,17,
263,512,2080,11,3,18,16,17,
1059,574,817,16,1,1,19,17,
264,262,589,10,9,19,18,15,
603,322,2055,12,17,20,21,23,
1540,443,2163,7,18,18,22,19,
265,1152,1338,4,18,13,23,22,
266,383,869,11,11,14,21,22,
604,1216,2295,12,4,13,20,19,
1060,1008,2188,17,12,6,22,20,
2031,1188,2137,2,20,17,29,24,
267,660,1564,19,7,17,38,31,
2525,890,2316,3,11,16,19,18,
605,808,2248,15,20,2,30,31,
268,323,720,3,4,5,18,17,
1541,925,1633,10,4,16,24,20,
269,969,1832,2,13,6,22,18,
1061,963,764,14,1,4,27,39,
606,584,2097,18,6,4,19,18,
270,1072,665,4,15,6,25,27,
271,1259,2141,15,15,2,23,20,
607,686,2452,12,15,6,26,28,
272,560,1644,12,9,11,21,27,
2032,776,2158,6,11,11,33,21,
1062,617,755,13,3,7,22,21,
1542,687,1804,9,17,3,14,18,
273,574,1020,16,14,1,23,24,
608,275,669,20,15,5,19,22,
2526,819,1939,13,9,14,23,22,
274,280,719,3,6,16,21,26,
275,881,1643,17,11,15,20,18,
609,1035,583,19,17,8,22,21,
1063,589,2346,15,14,3,23,22,
276,1230,2206,13,1,4,33,21,
1543,922,1559,11,12,13,22,22,
277,447,1530,16,17,12,21,25,
610,1039,2534,16,10,17,20,19,
2033,876,2144,12,19,2,19,18,
278,567,2217,10,3,16,25,20,
1064,954,2304,19,12,1,22,22,
611,490,1852,7,18,5,20,20,
279,1015,1005,16,9,14,21,19,
280,442,1030,18,5,15,22,22,
2527,788,2157,10,18,1,18,18,
612,1232,897,2,5,8,17,17,
281,703,1272,18,15,16,18,22,
1544,296,621,6,17,1,28,25,
1065,821,890,7,12,12,24,20,
282,1259,1595,9,2,19,18,17,
613,1143,1818,14,12,18,23,25,
2034,533,1231,17,10,4,26,32,
283,779,2139,7,5,6,26,29,
284,347,1359,3,19,11,16,16,
614,1234,598,15,14,6,17,16,
1066,495,589,17,19,18,33,19,
285,1092,882,13,18,16,34,23,
1545,765,1712,10,17,4,18,19,
286,634,2081,5,17,20,21,23,
615,773,1189,18,12,6,17,16,
2528,512,760,5,19,18,20,21,
287,648,1322,19,19,6,16,19,
1067,1140,660,8,6,14,17,19,
616,499,1600,2,10,15,26,22,
288,655,1243,3,15,13,17,16,
2035,1241,2195,6,20,2,28,16,
289,546,839,3,9,9,17,16,
1546,834,951,14,15,13,26,20,
617,302,1192,18,13,6,17,21,
290,1063,739,1,20,19,24,25,
1068,759,690,17,18,12,17,19,
291,382,2366,5,10,11,31,24,
618,883,1306,4,15,18,18,18,
292,1251,2224,7,12,2,24,20,
1069,859,838,20,12,12,24,18,
293,861,2050,9,13,7,21,19,
2529,617,1939,7,1,2,17,21,
1547,1001,1125,11,7,6,26,24,
619,389,1023,2,4,8,21,24,
2036,952,1065,10,12,5,29,19,
294,868,2401,4,4,8,27,23,
620,385,1411,10,12,1,33,31,
295,411,728,6,13,10,26,21,
1070,407,1513,16,11,9,22,21,
296,689,844,7,11,14,20,18,
621,641,827,10,10,18,23,18,
1548,761,860,2,12,1,16,19,
297,824,537,3,7,12,24,24,
298,393,983,12,5,13,26,20,
2037,699,916,8,13,5,29,37,
622,428,2410,16,6,4,14,18,
1071,1116,2197,8,18,16,24,18,
299,393,2306,9,20,10,23,26,
2530,1036,721,15,15,13,37,25,
300,419,2314,19,7,10,21,22,
623,1076,1205,6,15,9,20,20,
1549,537,2290,17,9,18,15,18,
301,628,1229,14,18,4,38,23,
1072,572,926,8,7,14,22,21,
624,1002,1824,20,7,8,24,20,
302,1147,932,14,7,13,33,21,
303,713,838,17,20,7,19,28,
2038,862,556,20,13,9,32,22,
625,785,1343,4,9,8,23,27,
1073,781,2115,6,6,4,22,20,
304,569,776,11,4,5,27,20,
1550,824,936,17,20,8,19,21,
305,582,2321,17,20,9,20,20,
2531,520,1071,19,5,6,29,19,
626,1063,1675,5,1,3,22,20,
306,912,854,15,6,2,22,24,
1074,685,1918,1,5,11,18,16,
307,1087,2245,19,12,15,19,23,
